symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
PEP,N,3,89,265,,1.44,1.44,1.44,1.47,1.47,17,1.07,1.07,1.07,1.13,1.13
COH,N,3,169,265,,2.26,2.26,2.44,2.47,2.47,23,0.67,0.67,0.68,0.68,0.69
AIG,N,3,110,265,,2.18,2.18,2.21,2.13,2.13,11,1.18,1.18,1.25,1.24,1.24
MNST,O,3,89,265,,1.81,1.81,1.88,1.88,1.79,13,0.81,0.81,0.86,0.87,0.87
YUM,N,5,69,265,,2.25,2.25,2.25,2.06,2.12,16,0.66,0.66,0.72,0.95,0.95
TSN,N,3,247,265,,1.60,1.60,1.20,1.20,1.20,5,0.90,0.90,0.91,0.87,0.87
HUM,N,3,96,265,,2.18,2.29,2.29,2.29,2.38,17,1.45,1.47,1.47,1.49,1.49
IBM,N,3,228,265,,2.60,2.60,2.60,2.54,2.60,15,4.77,4.77,5.61,5.75,5.74
CAT,N,5,255,265,,2.88,2.88,2.88,2.73,2.60,16,0.72,0.72,0.71,0.95,0.96
SINA,O,4,96,265,,1.86,1.86,1.86,2.00,2.00,7,0.08,0.08,0.14,0.14,0.00
NFLX,O,3,46,265,,2.07,2.07,2.07,2.04,2.00,28,0.02,0.02,0.00,0.02,0.02
FITB,O,3,147,265,,2.19,2.19,2.16,2.16,2.21,24,0.40,0.40,0.41,0.42,0.42
ESRX,O,2,16,265,,1.97,1.97,1.93,1.93,1.93,19,1.55,1.55,1.53,1.53,1.53
