

====  scan_st_sma_st_dmi_  =====

symbol      px    ma50   ma200  ma10s  ma10b  dmi_dif  dmi_buy
   COH   33.97   31.50   33.69      2      0     1.96       12
   KMB  129.08  122.09  113.03     16     13     1.66       13


====  scan_st_perf_  =====

symbol      px   p1d   p1w   p4w   p12w   p24w   pmax
   MCD  117.39  0.60 -0.16  3.23  22.01  23.21  43.95
    PG   76.73  0.08 -2.09  1.24  13.75  -3.12  21.47
    KO   42.37  1.90 -0.07 -0.94  12.06   4.63  23.37


====  scan_st_perf_  =====

symbol      px   p1d   p1w    p4w   p12w   p24w    pmax
  FSLR   65.42 -0.30 -0.86  12.44  34.08  15.24  104.50
   KMB  125.71  0.38 -1.25   4.54  21.70  16.63   66.99
   TSN   52.72  0.80 -1.14   4.09  21.93  29.20  170.99


====  scan_st_perf_  =====

symbol      px   p1d   p1w    p4w   p12w   p24w    pmax
  FSLR   66.14  1.10 -0.87  10.84  43.16  16.94  106.75
   TSN   53.32  1.14  0.68   5.42  23.51  28.80  174.07
   KMB  126.17  0.36 -0.25   5.34  22.46  15.77   67.60


====  scan_st_sma_  =====

symbol      px  ma50s  ma50b
  QIHU   71.63     12      5  12/28/2015
   MHK  166.24      2      0   2/18/2016
  CYOU   18.42      2      0    2/8/2016
  NVDA   29.25      7      5   2/10/2016
  SIVB  101.44      7      0   1/28/2016


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b        erd
   DIS   95.58     14      1   2/2/2016
   UNH  115.02     14      5  1/19/2016
  CSCO   23.75     12      5  2/10/2016
   IBM  124.60     69      5  1/19/2016
     V   74.12     15      5   2/4/2016
    GE   29.07     14      5  1/22/2016


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b         erd
   NOC  185.19     54      5    2/4/2016
     A   37.62     15      1   2/16/2016
  BIIB  272.71      7      5   1/27/2016
  SWKS   68.79     16      9   1/28/2016
  GPRO   11.44      9      5    2/4/2016
   LMT  210.98     54      3   1/26/2016
  LITB    2.26      8      2  12/21/2015
    MA   89.13     28      5   1/29/2016
  COST  151.31     25      1   12/8/2015
   BAC   14.03     16      8   1/19/2016
   DIS   95.58     14      1    2/2/2016
   AZN   32.23      9      5    2/4/2016
   KEY   11.20     16      0   1/21/2016
   UNH  115.02     14      5   1/19/2016
     C   42.54     14      5   1/15/2016
   PSX   80.01      5      2    2/4/2016
  CSCO   23.75     12      5   2/10/2016
   MAR   61.22     12      1   2/17/2016
   MAN   76.32     10      5   1/29/2016
