symbol,pricesale,marketcap,avgvol,px,peg,dividend,divdate
VRX,3.52,35110000000.0,15611500.0,102.33,0.53,0.0,11/10/2010
NOK,1.76,25810000000.0,10200800.0,7.12,2.54,2.16,5/5/2015
GS,2.37,81210000000.0,2904170.0,182.01,1.85,1.42,11/30/2015
GG,2.31,9560000000.0,9054300.0,11.52,-6.06,2.04,12/15/2015
GE,2.14,313890000000.0,91691800.0,31.05,3.19,3.02,12/17/2015
GM,0.35,53420000000.0,12287600.0,34.33,0.33,4.2,12/16/2015
SAP,4.4,96020000000.0,990858.0,80.15,2.24,1.54,5/18/2015
JAH,1.48,12500000000.0,4089430.0,56.74,2.0,0.0,12/29/2011
WYNN,1.63,6940000000.0,4974930.0,68.64,-1.27,2.93,11/9/2015
AAPL,2.56,598340000000.0,43904200.0,107.32,0.8,1.95,11/5/2015
VIAV,0.84,1450000000.0,1683540.0,6.09,1.67,0.0,0
D,3.39,40890000000.0,2342840.0,68.68,3.38,3.86,11/23/2015
HD,1.95,169070000000.0,4852140.0,133.35,1.74,1.79,12/1/2015
YHOO,6.37,31510000000.0,15618400.0,33.37,-1.83,0.0,0
ADI,5.14,17650000000.0,2827800.0,56.55,1.73,2.83,12/2/2015
JUNO,317.03,4460000000.0,1092780.0,44.31,0.0,0.0,0
QUNR,13.86,7260000000.0,2570960.0,54.78,0.16,0.0,0
PANW,14.7,15190000000.0,1554840.0,176.79,2.38,0.0,0
IR,1.1,14570000000.0,2404120.0,55.83,1.99,2.14,12/9/2015
CLD,0.1,123280000.0,1527180.0,2.04,-0.43,0.0,0
CTRP,8.7,13330000000.0,7320040.0,47.09,0.82,0.0,6/10/2008
TRV,1.29,34770000000.0,1847060.0,114.29,2.37,2.17,12/8/2015
QIHU,5.5,8960000000.0,1910110.0,72.66,0.53,0.0,0
PFE,4.22,202170000000.0,35608500.0,32.75,3.41,3.69,11/4/2015
GIS,2.01,34750000000.0,3155160.0,58.56,3.38,3.01,10/7/2015
MJN,3.72,15640000000.0,2442670.0,79.33,2.74,2.1,12/10/2015
BABA,15.16,201010000000.0,18402000.0,81.68,1.26,0.0,0
TSLA,8.23,31180000000.0,3770850.0,238.09,-1.87,0.0,0
ALXN,17.22,43110000000.0,1448550.0,191.31,1.95,0.0,0
MHK,1.75,14040000000.0,739372.0,189.89,1.28,0.0,0
NVS,4.12,209710000000.0,1824560.0,87.53,2.35,3.14,3/2/2015
GOOG,7.39,530240000000.0,1986990.0,771.0,1.56,0.0,0
NKE,3.44,107940000000.0,9043040.0,63.25,2.33,0.97,12/7/2015
CYOU,1.6,1310000000.0,171747.0,25.05,0.01,0.0,8/15/2012
CBI,0.32,4160000000.0,1767750.0,39.65,0.96,0.72,12/16/2015
NVDA,3.7,17960000000.0,8371330.0,33.39,7.27,1.39,11/18/2015
BLUE,125.05,2380000000.0,1724330.0,64.76,-0.07,0.0,0
KO,4.2,189490000000.0,14295500.0,43.57,7.68,3.05,11/27/2015
KR,0.38,41240000000.0,8094820.0,42.31,1.92,1.0,11/10/2015
JPM,2.75,245090000000.0,14077100.0,66.59,1.37,2.68,10/2/2015
PLD,10.47,22670000000.0,2686000.0,43.24,2.83,3.8,12/11/2015
SIVB,4.43,6170000000.0,555517.0,119.73,1.71,0.0,5/12/1992
MTB,3.71,16350000000.000002,1351170.0,122.64,1.85,2.3,10/28/2015
T,1.54,213720000000.0,23335900.0,34.74,2.21,5.58,10/7/2015
CRUS,1.71,1950000000.0,1952280.0,30.69,0.58,0.0,0
RDS-A,0.49,145980000000.0,4136040.0,45.99,0.0,0.0,11/10/2015
