,symbol,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit,mark
50,BIIB,t=9&h=15,-0.015,-0.024,-766.2529497801788,0.298,2.0,4.0,2014-12-04  buy  0  343.87,2525.83,"px=352.74,avgTyp=346.65,avgHac=344.18"
11,T,t=5&h=6,-0.074,0.014,-755.3005137918171,0.137,3.0,9.0,2015-01-06  sell -21.85  33.16,238.46,"px=33.49,avgTyp=33.47,avgHac=33.45"
28,T,t=6&h=14,-0.067,-0.061,-716.675439334982,0.115,2.0,5.0,2014-12-29  buy  0  33.64,238.46,"px=33.49,avgTyp=33.45,avgHac=33.35"
48,BLK,t=9&h=13,-0.088,0.309,-715.4054238187764,0.155,3.0,6.0,2015-01-06  sell -549.25  345.24,1297.32,"px=347.98,avgTyp=351.22,avgHac=352.90"
36,BLK,t=7&h=14,-0.088,0.309,-715.4054238187764,0.155,3.0,6.0,2015-01-06  sell -549.25  345.24,1297.32,"px=347.98,avgTyp=350.50,avgHac=353.05"
21,NOK,t=6&h=7,-0.11,0.159,-699.8338821122707,0.164,5.0,8.0,2015-01-02  sell -164.11  7.98,205.2,"px=7.46,avgTyp=7.58,avgHac=7.63"
49,TWTR,t=9&h=14,-0.04,-0.024,-694.7973462666987,0.325,2.0,2.0,2015-01-09  buy  0  39.5,-3856.52,"px=39.65,avgTyp=38.53,avgHac=38.02"
4,T,t=4&h=9,-0.067,-0.012,-672.559090883753,0.121,3.0,7.0,2015-01-09  buy  0  33.52,238.46,"px=33.49,avgTyp=33.50,avgHac=33.40"
50,GOOGL,t=9&h=15,-0.057,-0.061,-660.3304814681469,0.183,3.0,5.0,2015-01-06  sell -523.38  513.48,-1008.94,"px=501.80,avgTyp=509.73,avgHac=517.36"
44,GOOGL,t=8&h=15,-0.057,-0.061,-660.3304814681469,0.183,3.0,5.0,2015-01-06  sell -523.38  513.48,-1008.94,"px=501.80,avgTyp=508.50,avgHac=517.36"
49,GOOGL,t=9&h=14,-0.057,-0.061,-660.3304814681469,0.183,3.0,5.0,2015-01-06  sell -523.38  513.48,-1008.94,"px=501.80,avgTyp=509.73,avgHac=516.67"
35,JDSU,t=7&h=13,-0.096,0.186,-644.144337409618,0.22,2.0,4.0,2015-01-06  sell -256.22  13.48,737.51,"px=13.54,avgTyp=13.60,avgHac=13.66"
1,NOK,t=4&h=6,-0.105,0.157,-642.1844231335363,0.167,5.0,8.0,2015-01-02  sell -126.95  7.98,205.2,"px=7.46,avgTyp=7.54,avgHac=7.61"
11,NOK,t=5&h=6,-0.101,0.146,-609.878837335229,0.164,5.0,8.0,2015-01-02  sell -127.38  7.98,205.2,"px=7.46,avgTyp=7.56,avgHac=7.61"
4,FOXA,t=4&h=9,-0.096,0.354,-605.2671170064186,0.177,5.0,5.0,2015-01-06  sell -386.67  36.85,230.05,"px=35.13,avgTyp=35.59,avgHac=36.52"
1,FOXA,t=4&h=6,-0.103,0.415,-586.27476759417,0.157,6.0,7.0,2015-01-05  sell -238.24  37.42,230.05,"px=35.13,avgTyp=35.59,avgHac=36.14"
11,FOXA,t=5&h=6,-0.103,0.415,-586.27476759417,0.157,6.0,7.0,2015-01-05  sell -238.24  37.42,230.05,"px=35.13,avgTyp=35.73,avgHac=36.14"
11,SAP,t=5&h=6,-0.11,0.349,-572.6417646789178,0.134,4.0,8.0,2015-01-02  sell -94.7  69.96,-1969.02,"px=66.89,avgTyp=66.62,avgHac=66.76"
20,ERIC,t=5&h=15,-0.087,0.185,-537.3230161171032,0.187,3.0,4.0,2015-01-02  sell -288.56  12.01,417.03,"px=11.99,avgTyp=12.06,avgHac=12.09"
28,ERIC,t=6&h=14,-0.087,0.185,-537.3230161171032,0.187,3.0,4.0,2015-01-02  sell -288.56  12.01,417.03,"px=11.99,avgTyp=12.06,avgHac=12.09"
1,SAP,t=4&h=6,-0.106,0.36,-523.7272636699745,0.129,4.0,8.0,2015-01-02  sell -94.7  69.96,-1969.02,"px=66.89,avgTyp=66.58,avgHac=66.76"
19,ERIC,t=5&h=14,-0.086,0.192,-512.3841381503862,0.185,3.0,4.0,2015-01-02  sell -289.29  12.01,417.03,"px=11.99,avgTyp=12.06,avgHac=12.09"
21,PFE,t=6&h=7,-0.071,0.294,-507.66202296807023,0.146,4.0,7.0,2015-01-08  buy  0  32.42,959.46,"px=32.44,avgTyp=32.33,avgHac=32.14"
2,MJN,t=4&h=7,-0.11,0.629,-494.83209710918345,0.115,6.0,8.0,2015-01-05  sell -369.76  98.31,2119.25,"px=99.39,avgTyp=100.46,avgHac=100.48"
11,PFE,t=5&h=6,-0.073,0.338,-474.91705696458666,0.134,5.0,6.0,2015-01-08  buy  0  32.42,959.46,"px=32.44,avgTyp=32.40,avgHac=32.20"
2,SAP,t=4&h=7,-0.099,0.327,-474.5288448950141,0.109,4.0,7.0,2015-01-02  sell -95.4  69.96,-1969.02,"px=66.89,avgTyp=66.58,avgHac=66.93"
47,BLK,t=9&h=12,-0.075,0.405,-469.2996348737197,0.121,3.0,6.0,2015-01-06  sell -570.37  345.24,1297.32,"px=347.98,avgTyp=351.22,avgHac=352.71"
36,MCD,t=7&h=14,-0.09,0.335,-424.07630937563954,0.109,1.0,6.0,2015-01-08  buy  0  94.41,-27.93,"px=92.83,avgTyp=93.43,avgHac=93.49"
1,MJN,t=4&h=6,-0.125,0.567,-416.5267353956242,0.144,6.0,9.0,2015-01-09  buy  0  102.47,2119.25,"px=99.39,avgTyp=100.46,avgHac=100.50"
38,F,t=8&h=9,-0.046,0.129,-408.24355565035694,0.16,3.0,8.0,2015-01-06  sell -448.32  14.7,361.04,"px=15.21,avgTyp=15.20,avgHac=15.20"
37,MCD,t=7&h=15,-0.084,0.299,-404.99744157056193,0.106,1.0,5.0,2015-01-08  buy  0  94.41,-27.93,"px=92.83,avgTyp=93.43,avgHac=93.48"
34,BAC,t=7&h=12,-0.069,0.085,-394.16356504160467,0.102,4.0,7.0,2015-01-07  sell -359  17.03,98.22,"px=16.45,avgTyp=17.03,avgHac=17.31"
13,F,t=5&h=8,-0.045,0.13,-393.07334826238,0.171,4.0,9.0,2015-01-06  sell -449.01  14.7,361.04,"px=15.21,avgTyp=15.21,avgHac=15.20"
40,BAC,t=8&h=11,-0.068,0.086,-392.7609404853556,0.1,4.0,7.0,2015-01-07  sell -359  17.03,98.22,"px=16.45,avgTyp=17.08,avgHac=17.29"
30,PFE,t=7&h=8,-0.058,0.27,-389.5324565476658,0.143,4.0,6.0,2015-01-08  buy  0  32.42,959.46,"px=32.44,avgTyp=32.26,avgHac=32.08"
11,MJN,t=5&h=6,-0.12,0.562,-372.3912342758649,0.14,6.0,9.0,2015-01-09  buy  0  102.47,2119.25,"px=99.39,avgTyp=100.45,avgHac=100.50"
18,BAC,t=5&h=13,-0.066,0.088,-368.2244867239697,0.1,4.0,7.0,2015-01-07  sell -360.27  17.03,98.22,"px=16.45,avgTyp=16.91,avgHac=17.33"
3,F,t=4&h=8,-0.034,0.131,-299.86763873280324,0.171,3.0,9.0,2015-01-06  sell -453.12  14.7,361.04,"px=15.21,avgTyp=15.22,avgHac=15.20"
19,JDSU,t=5&h=14,-0.055,0.191,-242.16782276477352,0.197,3.0,4.0,2015-01-06  sell -267.26  13.48,737.51,"px=13.54,avgTyp=13.58,avgHac=13.66"
10,JDSU,t=4&h=15,-0.055,0.191,-242.16782276477352,0.197,3.0,4.0,2015-01-06  sell -267.26  13.48,737.51,"px=13.54,avgTyp=13.57,avgHac=13.66"
50,MCD,t=9&h=15,-0.064,0.264,-241.65938630138226,0.113,1.0,4.0,2015-01-08  buy  0  94.41,-27.93,"px=92.83,avgTyp=93.45,avgHac=93.48"
4,RTN,t=4&h=9,-0.026,0.072,-230.5516170661158,0.174,3.0,8.0,2015-01-13  sell -271.81  106.74,2017.43,"px=106.15,avgTyp=107.40,avgHac=107.84"
26,WMT,t=6&h=12,0.016,0.064,-214.99652724293992,0.121,3.0,5.0,2014-12-19  buy  0  85.73,1755.96,"px=89.31,avgTyp=89.00,avgHac=87.71"
42,RTN,t=8&h=13,-0.047,-0.013,-214.1971204418096,0.209,3.0,5.0,2014-12-23  buy  0  109.84,2017.43,"px=106.15,avgTyp=107.68,avgHac=107.73"
13,RTN,t=5&h=8,-0.023,0.076,-196.93305684669758,0.17,3.0,8.0,2015-01-13  sell -274.8  106.74,2017.43,"px=106.15,avgTyp=107.52,avgHac=107.84"
50,TWTR,t=9&h=15,0.006,-0.029,-191.195814407316,0.317,2.0,1.0,2015-01-09  buy  0  39.5,-3856.52,"px=39.65,avgTyp=38.53,avgHac=37.99"
45,COP,t=9&h=10,-0.019,0.152,-168.38330799709183,0.222,2.0,5.0,2015-01-06  sell -911.38  64.42,-677.81,"px=62.44,avgTyp=64.94,avgHac=65.59"
12,COP,t=5&h=7,-0.018,0.149,-167.96084051866274,0.236,2.0,9.0,2015-01-06  sell -911.38  64.42,-677.81,"px=62.44,avgTyp=63.92,avgHac=64.98"
33,AXP,t=7&h=11,-0.09,0.578,-129.1671748429435,0.098,3.0,5.0,2015-01-06  sell -524.81  89.3,244.55,"px=89.23,avgTyp=90.58,avgHac=91.27"
40,AXP,t=8&h=11,-0.089,0.578,-122.49173997042635,0.098,3.0,5.0,2015-01-06  sell -524.81  89.3,244.55,"px=89.23,avgTyp=90.70,avgHac=91.27"
44,TWTR,t=8&h=15,0.016,-0.026,-103.66397581253841,0.317,2.0,1.0,2015-01-09  buy  0  39.5,-3856.52,"px=39.65,avgTyp=38.65,avgHac=37.99"
24,VMW,t=6&h=10,0.0,0.016,-102.2514486339187,0.189,4.0,4.0,2015-01-06  sell -536.06  80.14,-1001.12,"px=80.00,avgTyp=80.46,avgHac=80.94"
3,COP,t=4&h=8,-0.014,0.158,-100.82147253996482,0.23,2.0,8.0,2015-01-06  sell -923.38  64.42,-677.81,"px=62.44,avgTyp=63.62,avgHac=65.21"
13,VMW,t=5&h=8,0.008,-0.033,-89.78556037214003,0.204,3.0,7.0,2015-01-05  sell -361.12  81.52,-1001.12,"px=80.00,avgTyp=80.40,avgHac=80.78"
50,AXP,t=9&h=15,-0.076,0.532,-56.09786392309434,0.111,3.0,3.0,2015-01-07  sell -397.53  90.46,244.55,"px=89.23,avgTyp=90.82,avgHac=91.47"
21,AAPL,t=6&h=7,0.006,0.237,-37.953822990019034,0.182,3.0,9.0,2015-01-02  sell -324.94  109.88,3818.96,"px=110.22,avgTyp=110.23,avgHac=110.24"
2,AAPL,t=4&h=7,0.006,0.237,-37.953822990019034,0.182,3.0,9.0,2015-01-02  sell -324.94  109.88,3818.96,"px=110.22,avgTyp=110.38,avgHac=110.24"
12,AAPL,t=5&h=7,0.006,0.237,-37.953822990019034,0.182,3.0,9.0,2015-01-02  sell -324.94  109.88,3818.96,"px=110.22,avgTyp=110.28,avgHac=110.24"
37,ORCL,t=7&h=15,-0.059,0.386,-25.19253407704491,0.115,4.0,4.0,2015-01-09  sell -454.94  43.68,1675.28,"px=42.93,avgTyp=43.58,avgHac=43.81"
49,ORCL,t=9&h=14,-0.059,0.386,-25.19253407704491,0.115,4.0,4.0,2015-01-09  sell -454.94  43.68,1675.28,"px=42.93,avgTyp=43.68,avgHac=43.83"
27,WMT,t=6&h=13,0.033,0.066,-20.809151995246793,0.104,2.0,5.0,2014-12-19  buy  0  85.73,1755.96,"px=89.31,avgTyp=89.00,avgHac=87.59"
34,WMT,t=7&h=12,0.033,0.066,-20.809151995246793,0.104,2.0,5.0,2014-12-19  buy  0  85.73,1755.96,"px=89.31,avgTyp=88.80,avgHac=87.71"
5,BMY,t=4&h=10,0.037,0.097,-6.255829691124745,0.136,4.0,6.0,2015-01-09  buy  0  60.55,2187.68,"px=63.12,avgTyp=61.87,avgHac=60.41"
44,ORCL,t=8&h=15,-0.055,0.387,14.031154548791164,0.115,3.0,4.0,2015-01-12  sell -551.35  43.29,1675.28,"px=42.93,avgTyp=43.64,avgHac=43.81"
26,BMY,t=6&h=12,0.039,0.087,39.18112840557842,0.121,4.0,5.0,2015-01-09  buy  0  60.55,2187.68,"px=63.12,avgTyp=61.33,avgHac=60.25"
45,BMY,t=9&h=10,0.046,0.084,89.00626937781271,0.132,4.0,7.0,2015-01-09  buy  0  60.55,2187.68,"px=63.12,avgTyp=60.83,avgHac=60.41"
4,VMW,t=4&h=9,0.025,-0.027,96.29553448609477,0.189,4.0,6.0,2015-01-05  sell -370.07  81.52,-1001.12,"px=80.00,avgTyp=80.38,avgHac=80.86"
44,DOW,t=8&h=15,-0.007,0.271,146.44439713780594,0.154,2.0,5.0,2014-12-02  sell -228.56  48.08,94.91,"px=43.61,avgTyp=44.32,avgHac=44.90"
49,DOW,t=9&h=14,-0.003,0.274,191.80627138100317,0.15,2.0,5.0,2014-12-02  sell -229.65  48.08,94.91,"px=43.61,avgTyp=44.38,avgHac=44.83"
43,DOW,t=8&h=14,-0.003,0.274,191.80627138100317,0.15,2.0,5.0,2014-12-02  sell -229.65  48.08,94.91,"px=43.61,avgTyp=44.32,avgHac=44.83"
21,PEP,t=6&h=7,-0.004,0.109,219.68130166904848,0.065,5.0,6.0,2015-01-09  buy  0  97.16,2105.79,"px=96.35,avgTyp=96.31,avgHac=96.14"
8,CL,t=4&h=13,-0.016,0.375,267.0283386396786,0.059,3.0,3.0,2015-01-05  sell -247.79  68.84,864.69,"px=68.73,avgTyp=68.69,avgHac=69.07"
29,MS,t=6&h=15,0.009,0.202,274.92413884429334,0.15,4.0,3.0,2015-01-07  sell  751.24  36.88,1728.52,"px=36.03,avgTyp=36.90,avgHac=37.48"
48,MS,t=9&h=13,0.009,0.202,274.92413884429334,0.15,4.0,3.0,2015-01-07  sell  751.24  36.88,1728.52,"px=36.03,avgTyp=37.15,avgHac=37.47"
28,MS,t=6&h=14,0.009,0.202,274.92413884429334,0.15,4.0,3.0,2015-01-07  sell  751.24  36.88,1728.52,"px=36.03,avgTyp=36.90,avgHac=37.48"
39,CL,t=8&h=10,-0.014,0.381,292.356050410257,0.059,3.0,3.0,2015-01-05  sell -211.19  68.84,864.69,"px=68.73,avgTyp=68.84,avgHac=68.99"
15,CL,t=5&h=10,-0.009,0.336,295.9183688443536,0.058,3.0,4.0,2015-01-05  sell -247.79  68.84,864.69,"px=68.73,avgTyp=68.72,avgHac=68.99"
17,BIDU,t=5&h=12,0.032,0.098,358.10658694940685,0.194,2.0,7.0,2015-01-02  sell -311.14  226.12,2745.21,"px=219.60,avgTyp=223.76,avgHac=226.39"
13,ABT,t=5&h=8,-0.008,0.373,364.3509007852226,0.077,3.0,5.0,2015-01-13  buy  0  44.93,2004.84,"px=44.61,avgTyp=44.95,avgHac=44.98"
