Company Name,Ticker,Focus,Industry 
Phillips 66 Partners LP,PSXP.N,,Oil &amp; Gas Storage &amp; Transportation 
Pinnacle Entertainment,PNK.N,,Casinos &amp; Gaming 
Pioneer Natural Resources,PXD.N,,Oil &amp; Gas Exploration &amp; Production 
"Plains All American Pipeline, L.P.",PAA.N,,Oil &amp; Gas Storage &amp; Transportation 
"Plains GP Holdings, L.P.",PAGP.N,,Oil &amp; Gas Storage &amp; Transportation 
Plantronics Inc,PLT.N,, 
Plum Creek Timber,PCL.N,,Specialized REIT's 
PNC Financial,PNC.N,,Regional Banks 
Portland General Electric Co.,POR.N,,Electric Utilities 
PPG Industries,PPG.N,,Specialty Chemicals 
"Premier, Inc.",PINC.O,,Health Care           Services 
Priceline.com,PCLN.O,,Internet Retail 
"PrivateBancorp, Inc.",PVTB.O,,Regional Banks 
Procter &amp; Gamble,PG.N,,Household Products 
Prologis,PLD.N,Yes,Industrial REIT's 
Prosensa,RNA.O,,Biotechnology 
Prudential Financial,PRU.N,Yes,Life &amp; Health Insurance 
PS Business Parks,PSB.N,,Diversified REIT's 
PTC Inc,PTC.O,,Application Software 
PTC Therapeutics,PTCT.O,,Biotechnology 
Public Storage,PSA.N,,Specialized REIT's 
Pzena Investment Management,PZN.N,,Asset Management &amp; Custody Banks 
Q2 Holdings Inc.,QTWO.N,,Internet Software &amp; Services 
Quintiles Transnational,Q.N,,Biotechnology 
Range Resources Corp,RRC.N,,Oil &amp; Gas Exploration &amp; Production 
Realogy Holdings Corp.,RLGY.N,,Real Estate Services 
Red Hat,RHT.N,,Systems Software 
Regency Centers,REG.N,Yes,Retail REIT's 
Regency Energy Partners LP,RGP.N,,Oil &amp; Gas Refining &amp; Marketing 
Reinsurance Group of America,RGA.N,,Reinsurance 
Rexford Industrial Realty,REXR.N,,Industrial REIT's 
Rite Aid,RAD.N,,Drug Retail 
Robert Half International,RHI.N,,Human Resource &amp; Employment Services 
Rockwell Collins,COL.N,,Aerospace &amp; Defense 
RSP Permian Inc.,RSPP.N,,Oil &amp; Gas Exploration &amp; Production 
RTI International Metals,RTI.N,,Diversified Metals &amp; Mining 
Ryerson,RYI.N,,Steel 
Sage Therapeutics,SAGE.O,,Biotechnology 
SAIC,SAIC.N,,IT Consulting &amp; Other Services 
salesforce.com,CRM.N,,Application Software 
Sangamo BioSciences,SGMO.O,,Biotechnology 
Santander Consumer (SC),SC.N,,Consumer Finance 
SBA Communications,SBAC.O,,Wireless Telecommunication Services 
Scotts Miracle-Gro Co.,SMG.N,,Fertilizers &amp; Agricultural Chemicals 
ServiceMaster,SERV.N,,Specialized Consumer Services 
Signature Bank,SBNY.O,,Regional Banks 
Signet Jewelers,SIG.N,,Specialty Stores 
Silver Bay Realty Trust,SBY.N,Yes,Residential REIT's 
Simon Property Group,SPG.N,,Retail REIT's 
SL Green Realty Corp.,SLG.N,,Office REIT's 
Solar Capital,SLRC.O,Yes,Asset Management &amp; Custody Banks 
SolarCity,SCTY.O,,Electrical Components &amp; Equipment 
Solera Holdings,SLH.N,,Application Software 
Spectranetics,SPNC.O,Yes,Health Care Supplies 
Spirit AeroSystems,SPR.N,,Aerospace &amp; Defense 
St Jude Medical,STJ.N,,Health Care Equipment 
Starbucks,SBUX.O,Yes,Restaurants 
"Steel Dynamics, Inc.",STLD.O,,Steel 
"Stratasys, Ltd.",SSYS.O,,"Technology Hardware, Storage &amp; Peripherals" 
SunPower Corporation,SPWR.O,,Semiconductors 
"SunTrust Banks, Inc.",STI.N,,Regional Banks 
Surgical Care Affiliates,SCAI.O,,Health Care Facilities 
SVB Financial Group,SIVB.O,Yes,Regional Banks 
Synageva BioPharma,GEVA.O,,Biotechnology 
Synaptics Inc.,SYNA.O,Yes,Semiconductors 
Synchronoss Technologies,SNCR.O,,Application Software 
Synchrony Financial,SYF.N,,Consumer Finance 
T-Mobile US Inc.,TMUS.N,Yes,Wireless Telecommunication Services 
"T. Rowe Price Group, Inc",TROW.O,,Asset Management &amp; Custody Banks 
Tableau,DATA.N,,Systems Software 
TAL International,TAL.N,,Trading Companies &amp; Distributors 
Talmer Bancorp,TLMR.O,,Regional Banks 
Targa Resources Corp.,TRGP.N,,Oil &amp; Gas Storage &amp; Transportation 
Taylor Morrison Home Corp.,TMHC.N,,Homebuilding 
Telephone &amp; Data Systems,TDS.N,Yes,Wireless Telecommunication Services 
Tenet,THC.N,,Health Care Facilities 
Tenneco Inc.,TEN.N,,Auto Parts &amp; Equipment 
"TerraForm Power, Inc.",TERP.O,,Renewable Electricity 
Tesoro Logistics LP,TLLP.N,,Oil &amp; Gas Storage &amp; Transportation 
Texas Instruments,TXN.N,,Semiconductors 
Textron,TXT.N,,Aerospace &amp; Defense 
The Carlyle Group,CG.O,Yes,Asset Management &amp; Custody Banks 
The Container Store,TCS.N,,Specialty Stores 
"The Cooper Companies, Inc.",COO.N,,Health Care Supplies 
The Fresh Market,TFM.O,,Food Retail 
The Home Depot,HD.N,,Home Improvement Retail 
The Intercontinental Exchange,ICE.N,,Specialized Finance 
The Medicines Company,MDCO.O,,Pharmaceuticals 
The Mosaic Company,MOS.N,,Fertilizers &amp; Agricultural Chemicals 
The New Home Company,NWHM.N,,Homebuilding 
The Ryland Group,RYL.N,,Homebuilding 
"The Williams Companies, Inc.",WMB.N,,Oil &amp; Gas Storage &amp; Transportation 
Thermo Fisher Scientific,TMO.N,,Life Sciences Tools &amp; Services 
Time Warner,TWX.N,Yes,Movies &amp; Entertainment 
TJX Companies,TJX.N,,Apparel Retail 
Towers Watson,TW.N,,Human Resource &amp; Employment Services 
Tractor Supply,TSCO.O,,Specialty Stores 
TriMas,TRS.O,,Industrial Machinery 
Trimble Navigation,TRMB.O,,Electronic Manufacturing Services 
TriNet,TNET.N,,Human Resource &amp; Employment Services 
Triumph Group,TGI.N,,Aerospace &amp; Defense 
TriVascular Technologies,TRIV.O,,Health Care Equipment 
TrueCar Inc.,TRUE.O,,Internet Software &amp; Services 
"Twitter, Inc.",TWTR.N,,Internet Software &amp; Services 
Two Harbors,TWO.N,,Mortgage REIT's 
Tyson Foods,TSN.N,Yes,Packaged Foods &amp; Meats 
"UDR, Inc.",UDR.N,,Residential REIT's 
"Ulta Salon Cosmetics &amp; Fragrance Inc.",ULTA.O,,Specialty Stores 
Ultimate Software,ULTI.O,,Application Software 
Ultragenyx,RARE.O,,Biotechnology 
"United Continental Holdings, Inc.",UAL.N,,Airlines 
United Technologies,UTX.N,,Aerospace &amp; Defense 
UnitedHealth,UNH.N,,Managed Health Care 
Universal Health Services Inc.,UHS.N,,Health Care Facilities 
Urban Outfitters,URBN.O,,Apparel Retail 
US Cellular,USM.N,,Wireless Telecommunication Services 
"USA Compression Partners, LP",USAC.N,,Oil &amp; Gas Equipment &amp; Services 
V.F. Corporation,VFC.N,Yes,"Apparel, Accessories &amp; Luxury Goods" 
Valero Energy,VLO.N,,Oil &amp; Gas Refining &amp; Marketing 
"Valero Energy Partners, LP",VLP.N,,Oil &amp; Gas Storage &amp; Transportation 
Valspar Corp,VAL.N,,Specialty Chemicals 
Vantiv,VNTV.N,,Data Processing &amp; Outsourced Services 
Varian Medical,VAR.N,,Health Care Equipment 
Veeco Instruments,VECO.O,,Semiconductor Equipment 
Veeva Systems,VEEV.N,,Health Care Technology 
VeriFone,PAY.N,Yes,Data Processing &amp; Outsourced Services 
"Verint Systems, Inc.",VRNT.O,,Application Software 
Verisk Analytics,VRSK.O,Yes,Research &amp; Consulting Services 
Verizon Communications,VZ.N,Yes,Integrated Telecommunication Services 
Vertex Pharmaceuticals,VRTX.O,,Biotechnology 
Viacom,VIAB.N,,Movies &amp; Entertainment 
Virtusa Corp.,VRTU.O,,IT Consulting &amp; Other Services 
Visa Inc.,V.N,,Data Processing &amp; Outsourced Services 
Visteon Corporation,VC.N,,Auto Parts &amp; Equipment 
"Vitamin Shoppe, Inc",VSI.N,,Specialty Stores 
Vornado Realty Trust,VNO.N,,Diversified REIT's 
