,symbol,5d,10d,20d,50d,100d,200d,max,px,sma10,sma50,sma200,sma10%,sma50%,sma200%,,,
2,PEP,-0.83%,2.23%,4.41%,0.02,6.98%,19.13%,19.95%,96.67,95.523,96.576,90.42665,1.20%,0.10%,6.90%,,PEP,4
46,SOHU,-1.22%,-3.85%,4.75%,0.02,-16.58%,-22.62%,-32.61%,51.13,51.357,50.0254,54.1886,-0.44%,2.21%,-5.64%,,SOHU,1
58,LMT,-0.97%,0.34%,4.23%,0.02,12.05%,20.87%,29.99%,193.23,192.66,189.6586,171.71275,0.30%,1.88%,12.53%,,LMT,3
9,KO,-2.18%,0.81%,5.37%,0.03,4.98%,13.22%,10.26%,42.56,42.632,42.7014,41.12055,-0.17%,-0.33%,3.50%,,KO,3
30,BLK,-2.17%,-3.30%,2.61%,0.03,7.25%,11.02%,13.20%,345.75,349.654,351.9982,321.7677,-1.12%,-1.78%,7.45%,,BLK,3
41,ERIC,-0.66%,-0.41%,2.21%,0.03,-3.60%,-7.87%,2.38%,12.05,12.024,12.1684,12.2681,0.22%,-0.97%,-1.78%,,ERIC,3
22,ABT,-2.55%,-1.12%,2.57%,0.03,6.26%,17.64%,14.48%,44.28,44.743,44.398,41.42415,-1.03%,-0.27%,6.89%,,ABT,4
19,PG,-1.22%,-1.21%,0.71%,0.03,8.74%,14.68%,14.90%,89.99,90.277,90.0664,83.11255,-0.32%,-0.08%,8.27%,,PG,4
78,RTN,-3.24%,-1.41%,3.48%,0.03,11.08%,8.93%,19.17%,106.05,107.315,105.8404,97.99525,-1.18%,0.20%,8.22%,,RTN,3
63,FB,-2.43%,-2.23%,2.13%,0.03,2.29%,21.81%,32.43%,76.28,77.133,76.5082,70.7797,-1.11%,-0.30%,7.77%,,FB,3
14,BA,-1.08%,0.31%,4.93%,0.04,2.89%,3.48%,-5.12%,130.38,130.178,128.997,126.86815,0.16%,1.07%,2.77%,,BA,2
81,DIS,0.47%,0.04%,4.50%,0.04,5.46%,16.98%,28.47%,94.23,93.696,91.6284,86.0613,0.57%,2.84%,9.49%,,DIS,3
5,MMM,-2.32%,-2.73%,0.50%,0.05,11.50%,19.13%,18.26%,159.84,161.364,160.2478,145.43035,-0.94%,-0.25%,9.91%,,MMM,3
11,KMB,-0.65%,0.60%,3.41%,0.05,13.14%,13.14%,18.58%,116.23,115.533,114.2384,106.23995,0.60%,1.74%,9.40%,,KMB,3
18,NVS,1.62%,4.48%,5.63%,0.06,8.84%,14.55%,23.80%,96.81,94.114,94.1154,90.38785,2.86%,2.86%,7.11%,,NVS,3
23,LLY,-1.57%,1.12%,0.72%,0.06,12.75%,21.43%,34.93%,69.76,69.673,69.1776,63.14695,0.12%,0.84%,10.47%,,LLY,3
33,V,-3.36%,-2.53%,0.85%,0.06,18.50%,19.71%,15.08%,255.56,260.618,257.5098,222.8563,-1.94%,-0.76%,14.67%,,V,3
73,INTC,-0.93%,0.17%,2.22%,0.07,4.72%,42.94%,40.62%,36.35,36.28,35.9392,31.96985,0.19%,1.14%,13.70%,,INTC,2
16,MRK,-0.33%,10.30%,10.28%,0.07,7.44%,13.62%,22.92%,62.64,60.649,59.2728,57.548,3.28%,5.68%,8.85%,,MRK,3
47,CYOU,4.23%,-0.99%,7.12%,0.07,13.16%,-9.70%,-12.39%,27.09,26.607,24.2774,24.6585,1.82%,11.59%,9.86%,,CYOU,2
80,HD,-3.82%,-2.22%,5.75%,0.07,13.87%,31.34%,29.33%,102.64,103.742,99.9458,87.3842,-1.06%,2.70%,17.46%,,HD,3
39,F,-2.01%,-2.52%,7.24%,0.08,-11.22%,-5.21%,-6.61%,15.11,15.145,15.1046,15.8205,-0.23%,0.04%,-4.49%,,F,3
24,PFE,-0.06%,4.27%,5.90%,0.09,13.29%,4.37%,7.84%,32.48,31.975,31.1828,29.70945,1.58%,4.16%,9.33%,,PFE,3
27,BIIB,-0.43%,2.74%,7.26%,0.09,2.58%,12.58%,17.54%,348.75,344.801,330.8884,319.38475,1.15%,5.40%,9.19%,,BIIB,2
25,BMY,3.67%,6.64%,9.80%,0.10,27.12%,24.78%,18.75%,62.95,60.413,59.0306,51.6406,4.20%,6.64%,21.90%,,BMY,3
77,COH,-3.67%,-1.60%,5.69%,0.10,0.79%,-23.51%,-29.34%,36.96,37.53,35.6954,37.36355,-1.52%,3.54%,-1.08%,,COH,3
62,ORCL,-0.81%,-3.99%,6.27%,0.11,4.03%,5.00%,13.44%,43.06,43.5,42.141,40.66325,-1.01%,2.18%,5.89%,,ORCL,4
38,GM,-5.25%,-1.75%,11.62%,0.11,1.96%,2.51%,-9.83%,34.3,35.195,32.7646,33.44855,-2.54%,4.69%,2.55%,,GM,3
15,NOC,-0.04%,3.20%,5.79%,0.12,20.46%,24.73%,31.83%,152.11,149.109,143.4458,128.05425,2.01%,6.04%,18.79%,,NOC,2
43,NTES,1.68%,5.77%,5.99%,0.12,20.43%,52.06%,36.54%,104.86,102.152,100.206,84.4154,2.65%,4.64%,24.22%,,NTES,1
4,WMT,-4.27%,0.85%,4.40%,0.14,15.00%,14.90%,14.32%,86.61,87.81,84.2244,77.77075,-1.37%,2.83%,11.37%,,WMT,3
68,CSCO,1.49%,1.05%,5.72%,0.14,14.90%,23.54%,26.39%,27.92,27.602,26.87,24.72595,1.15%,3.91%,12.92%,,CSCO,3
44,BBRY,18.53%,14.75%,32.49%,0.23,26.76%,55.56%,47.02%,12.6,10.729,10.5442,9.5123,17.44%,19.50%,32.46%,,BBRY,2
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,0.036533333,,,
,,,,,,,,,,,,,,2,0.064244444,,,
,,,,,,,,,,,,,,3,-0.003573469,,,
,,,,,,,,,,,,,,4,-0.05689375,,,
,,,,,,,,,,,,,,5,-0.0886,,,
,,,,,,,,,,,,,,0,,,,
