symbol,total trade,win rate%,gain,return%,maxgain%,maxloss%
NVS,2,50.0,-59.12083287016685,-0.59,0.1,0.69
GOOG,2,50.0,171.01787954972679,1.71,1.83,0.12
NKE,2,100.0,148.6772128097873,1.49,1.25,0.0
CYOU,1,0.0,-7.760850819198822,-0.08,0.0,0.08
CBI,2,50.0,344.09729697966213,3.44,4.86,1.42
NVDA,2,100.0,1220.8022755719467,12.21,11.93,0.0
BLUE,1,0.0,-123.99445214979278,-1.24,0.0,1.24
KO,1,100.0,35.63724974767683,0.36,0.36,0.0
KR,2,50.0,-43.629618292343366,-0.44,0.25,0.69
JPM,1,100.0,2.858461374986291,0.03,0.03,0.0
PLD,2,50.0,-2.180117603360486,-0.02,0.32,0.35
SIVB,2,0.0,-647.6794139754566,-6.48,0.0,6.44
MTB,1,100.0,4.7606330480848555,0.05,0.05,0.0
T,0,100.0,0.0,0.0,0.0,0.0
CRUS,2,50.0,164.3597913415142,1.64,2.0,0.36
RDS-A,1,0.0,-67.31351959729545,-0.67,0.0,0.67
G3B.SI,0,100.0,0.0,0.0,0.0,0.0
D05.SI,2,50.0,-109.32737137289587,-1.09,1.64,2.73
